[0.47100843],[-0.60443152],[-0.76394027],[1.01030724],[-0.41722467],[0.07246403],[-0.50495452]
[0.36561769],[-0.57910928],[-0.65712377],[-0.39397769],[-0.13025191],[0.63952556],[0.15578876]
[-0.46689478],[0.35335039],[-0.69160807],[0.27302521],[-0.06622225],[-0.56080274],[0.54525485]
[-1.14607405],[0.70309173],[-0.41295697],[-0.36263429],[-0.32865887],[0.81207756],[-0.07920593]
[-0.18439832],[0.25273235],[0.21185278],[0.64808162],[-0.23668943],[-0.93887925],[0.05213157]
[-0.45861521],[-0.28992451],[0.15882499],[-0.45361738],[0.33335352],[0.43669684],[-1.17928456]
[0.64856025],[0.57710243],[-0.89277677],[-0.50163209],[0.58159976],[-0.50598346],[-0.18832331]
[0.30797595],[-0.47064096],[0.31985564],[-0.5105802],[0.82303457],[0.0823227],[-0.1245027]
[0.0834181],[-0.14857349],[-0.33682615],[-0.56303839],[0.50974102],[-0.36593093],[-1.0194049]
[-0.08574049],[0.9854795],[-0.96328746],[0.55587564],[0.08633834],[0.55415312],[0.64200398]
[0.13096849],[0.87254655],[-1.02792843],[0.307124],[-0.09279043],[-0.49244053],[-0.19275852]
[-1.09647359],[0.83789084],[-0.75110036],[0.6719572],[0.43483888],[0.56664356],[0.4031175]
[0.73654249],[0.39727813],[0.50041071],[-0.30905167],[-0.13311473],[-0.53459571],[0.53432101]
[0.65599373],[0.55571485],[-2.07318488],[-0.02636718],[0.58313847],[0.30235789],[-0.31731203]
[1.06225025],[0.56139002],[0.05747942],[0.03430614],[0.79890879],[-0.22755736],[-0.32309871]
[-0.30182948],[1.02776804],[-0.04198848],[-0.65330192],[0.42713682],[0.32923767],[0.07604013]
[-0.81344431],[0.21487744],[0.31257853],[-0.89732314],[-0.29656142],[-0.36298636],[-0.67167164]
[-1.16301943],[0.35334438],[1.80643211],[0.67631719],[-0.04304713],[0.32661107],[0.98016679]
[-0.36306831],[0.81089985],[-0.98522203],[-0.48900373],[-0.24522477],[-0.55650124],[-0.81304301]
[-0.73548935],[0.68715446],[-0.22084334],[-0.16818668],[-0.4686338],[0.55814762],[-0.92889012]
[-0.95994728],[0.24913159],[0.31435387],[-0.72068592],[0.38516866],[-0.50330639],[0.27850237]
[-0.72530665],[0.63960433],[-0.07028377],[-0.42470389],[-0.75933089],[0.21332742],[-0.62062684]
[-0.97026555],[1.35069275],[0.64138181],[0.14624183],[-1.12175135],[-0.44837114],[0.0116483]
[-0.82213914],[0.69559652],[-0.02420241],[0.17987967],[0.72647025],[0.23809355],[0.07128184]
[0.57788891],[1.10260062],[-0.63004754],[0.01990801],[0.72202367],[-0.38008973],[-0.38451627]
[-1.16564279],[1.48577304],[-0.08420653],[0.14808742],[-0.78789562],[0.09964618],[0.17139524]
[-0.00391474],[1.23680134],[-0.68290877],[-0.19574445],[0.08418079],[-0.43782827],[0.60325766]
[-0.75216815],[1.33592253],[-0.15075109],[-0.04773649],[-0.31390373],[0.39883497],[-0.69028085]
[-0.51194978],[1.97294228],[-0.84297527],[0.04826229],[0.42230144],[-0.18732321],[-0.32616587]
[-0.21837509],[1.34072017],[-0.48185002],[-0.15120645],[0.04521362],[0.10642873],[-0.0227825]
[-0.33904758],[0.21103289],[0.15400781],[-0.07910993],[-0.09309849],[-0.24961111],[-0.42013577]
[0.5537394],[0.6876379],[0.6080678],[0.01906901],[-0.10256284],[0.35743621],[0.07759213]
[0.00681042],[1.09806281],[0.16333258],[-0.13651229],[-0.68728884],[-0.32521437],[0.91102858]
[-0.58794904],[0.37136217],[-0.53224746],[0.02827229],[-0.8960019],[0.44230847],[-0.59549352]
[0.09443511],[0.4722933],[0.26789113],[0.08951246],[-0.5231273],[-0.32071889],[0.11791571]
[0.77797696],[0.92414213],[-0.58486176],[-0.4478534],[-0.34755879],[0.30025207],[0.70575132]
[-1.0188634],[0.13571026],[0.02482157],[0.07815157],[-0.09633245],[-0.22992279],[-0.26894888]
[-0.52734943],[0.40469557],[0.37228533],[-0.33114661],[-0.56008623],[0.05375618],[-0.51221422]
[-1.17843141],[1.04714251],[0.59992871],[0.30104796],[-0.14558864],[-0.27081045],[-0.13025151]
[-0.84417923],[0.41011553],[0.0537861],[-0.47524822],[-0.37295423],[0.34128509],[-0.66045016]
[-0.47579757],[0.54143516],[0.49808669],[0.36532403],[-0.54278994],[-0.17924959],[0.18100485]
[-1.07734376],[1.15618141],[-0.04848636],[-0.31260002],[0.12902129],[0.32160262],[0.07591072]
[-0.84483837],[-0.01195608],[0.75612885],[-0.13434121],[-0.36289208],[-0.32742022],[-1.09154467]
[-0.09613606],[-0.19559265],[0.48337183],[-0.07763904],[-0.8888247],[0.08014464],[0.34405276]
[0.41785652],[-0.01843062],[-0.160084],[-0.2902493],[0.38095077],[-0.22215858],[-0.02975]
[-0.87863389],[0.45614299],[0.32404715],[0.17135475],[0.15177056],[0.07677936],[0.72968085]
[-0.09990233],[0.02284097],[-0.03993754],[-0.39033424],[-0.46202469],[-0.14890828],[0.63967295]
[-0.73771563],[-0.22052349],[0.0403108],[0.08706027],[-0.57593799],[0.18623062],[0.0980099]
[-0.71640741],[0.18027388],[0.20685873],[-0.49538293],[-0.24122948],[-0.22586212],[0.31312455]
[-0.22004094],[-0.15323635],[0.04146797],[-0.02928959],[-0.87374485],[-0.00736126],[0.05845517]
[-0.11937346],[-0.72505668],[0.35187367],[-0.63198553],[0.14787669],[-0.2517202],[0.1901383]
[-0.08489404],[-0.60811138],[1.07469094],[-0.42305677],[0.14705015],[0.1069326],[-0.03826001]
[0.02503251],[-0.76298196],[0.78992942],[0.34352622],[-0.17232023],[-0.10019252],[-0.04605579]
[-1.06521436],[-0.45755647],[-0.08723963],[-0.3177372],[-0.23551193],[0.14605363],[-0.24045532]
[-0.80048711],[-0.21779177],[1.58500549],[0.92579401],[0.13357722],[-0.15174896],[0.22717979]
[-0.57561303],[-1.15595336],[0.16276376],[-0.44278338],[-0.40565872],[0.16082501],[0.23122172]
[-0.7196499],[-1.21827343],[0.72849035],[0.2979122],[-0.10236504],[-0.16125048],[-0.34192524]
[-0.21518072],[-0.34224998],[-0.26415315],[0.62498615],[0.64151528],[0.08431],[-0.36004167]
[0.66368402],[-0.56719967],[-0.31300848],[0.33613645],[0.32731226],[-0.10719238],[0.12535323]
[0.04741495],[-1.20609209],[-0.29495462],[-0.53505657],[0.34089425],[-0.0166096],[0.1897682]
[-0.25792531],[-0.79266374],[0.85836473],[0.41643574],[0.35272842],[-0.04450596],[0.07545703]
[-0.10079534],[-0.51195991],[0.35685734],[0.1974965],[-0.2627622],[0.1011385],[0.12340121]
[-0.11268234],[-0.50547731],[-0.42110293],[0.27501917],[0.17375621],[-0.06230225],[-0.25010004]
[0.76293355],[-0.77969654],[-0.00768235],[0.36882297],[0.66332302],[0.03015891],[-0.04949137]
[0.20790776],[-0.77680846],[0.34747061],[-0.04894182],[0.03771097],[-0.13230678],[0.71124237]
[-0.06339043],[-1.5425248],[-0.0178119],[-0.6085498],[-0.26910864],[0.05717418],[-0.17386786]
[0.24258616],[-0.99037007],[-0.14606784],[-0.12059688],[0.11356878],[-0.05412567],[-0.24774624]
[-0.32830877],[-0.69949386],[0.51317562],[0.41632207],[-0.2138854],[0.06810905],[-0.23424252]
[0.12742919],[-1.63716526],[0.69346266],[-0.29155952],[-0.44481907],[-0.04917416],[0.06268586]
[0.81005196],[-1.3013631],[0.4410188],[0.39668898],[-0.20846967],[-0.01798752],[0.33789634]
[-0.39297373],[-0.53816357],[0.750768],[0.80051733],[-0.49988362],[-0.06894849],[0.17595468]
[-0.77650363],[-0.52267121],[-0.49612088],[-0.1902778],[-0.27093618],[0.04121193],[-0.40558932]
[0.19098623],[-0.31702188],[-0.16801756],[0.047967],[0.15292865],[-0.03785669],[-0.26843836]
